,head,relation,tail,cos_sim_score
0,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,l_text_topics,topic_1,0.5793811284507884
1,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,l_text_topics,topic_11,0.6127765542092565
2,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,l_text_topics,topic_1,0.601606896358732
3,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,l_text_topics,topic_7,0.7692981768280378
4,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_4,0.7543881527437631
5,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_12,0.8122341806683867
6,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_14,0.8556592039494434
7,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,l_text_topics,topic_10,0.6618904231240628
8,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,l_text_topics,topic_12,0.7402523049127309
9,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,topic_5,0.7132339389003357
10,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,topic_7,0.6692445920219616
11,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,topic_11,0.7396538450896403
12,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,topic_5,0.6912808679340218
13,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,topic_8,0.7589405636698492
14,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,topic_10,0.6451914757459489
15,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,topic_12,0.7708237024572498
16,Course1_W7-S1-L2_Two_Example_Problems_11-19,l_text_topics,topic_12,0.8179822351501101
17,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_7,0.7696904071596304
18,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_11,0.7425867502517653
19,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_12,0.8519276286170071
20,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,l_text_topics,topic_11,0.701365590222987
21,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,l_text_topics,topic_10,0.6273517392126697
22,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,l_text_topics,topic_1,0.6293662280385147
23,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,l_text_topics,topic_1,0.6861668703212053
24,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,l_text_topics,topic_8,0.8148730335480612
25,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,l_text_topics,topic_7,0.6225170698003109
26,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,l_text_topics,topic_9,0.6074581005553403
27,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,l_text_topics,topic_6,0.5631128671305243
28,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_2,0.6568965014305946
29,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_14,0.827616029696007
30,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,l_text_topics,topic_2,0.6558954736568923
31,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,l_text_topics,topic_9,0.6211263980072569
32,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,l_text_topics,topic_6,0.6411647370555744
33,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,l_text_topics,topic_7,0.7083659735403705
34,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,l_text_topics,topic_8,0.8305066681850972
35,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,l_text_topics,topic_12,0.8410660467458831
36,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,l_text_topics,topic_11,0.6681012587115047
37,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,l_text_topics,topic_7,0.7629600029415804
38,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,l_text_topics,topic_11,0.6829682411016638
