,head,relation,tail,cos_sim_score
0,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,l_text_topics,topic_1,0.526719153
1,Course3_W3-S1-L5_-_NLP_Tasks_1-3_-_16_slides_14-45,l_text_topics,topic_11,0.173941086
2,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,l_text_topics,topic_1,0.28273371
3,Course3_W5-S1-L6_-_Lexicalized_Parsing_-_12_slides_09-06,l_text_topics,topic_7,0.4698546
4,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_4,0.551080397
5,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_12,0.386781376
6,Course1_W10-S2-L5_GLMs_for_Dependency_Parsing_Part_2_8-28,l_text_topics,topic_14,0.483270869
7,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,l_text_topics,topic_10,0.41170216
8,Course3_W12-S1-L5_-_Machine_Translation_Basic_Techniques_-_13_slides_11-48,l_text_topics,topic_12,0.446940486
9,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,topic_5,0.399169428
10,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,topic_7,0.235621941
11,Course2_W1-S2-L2_Regular_Expressions_in_Practical_NLP_6-04,l_text_topics,topic_11,0.364775165
12,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,topic_5,0.392297167
13,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,topic_8,0.638312594
14,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,topic_10,0.537583224
15,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,l_text_topics,topic_12,0.365682999
16,Course1_W7-S1-L2_Two_Example_Problems_11-19,l_text_topics,topic_12,0.32313132
17,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_7,0.296710315
18,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_11,0.413423996
19,Course1_W1-S2-L6_Evaluating_Language_Models-_Perplexity_12-36,l_text_topics,topic_12,0.434142079
20,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,l_text_topics,topic_11,0.345283294
21,Course2_W8-S2-L3_Passage_Retrieval_and_Answer_Extraction_6-38,l_text_topics,topic_10,0.452227994
22,Course2_W6-S1-L1_CFGs_and_PCFGs_15-29,l_text_topics,topic_1,0.654284761
23,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,l_text_topics,topic_1,0.394895846
24,Course2_W5-S2-L2_Some_Methods_and_Results_on_Sequence_Models_for_POS_Tagging_13-04,l_text_topics,topic_8,0.495664063
25,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,l_text_topics,topic_7,0.330482348
26,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,l_text_topics,topic_9,0.327724826
27,Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,l_text_topics,topic_6,0.483470204
28,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_2,0.333536
29,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,l_text_topics,topic_14,0.414327117
30,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,l_text_topics,topic_2,0.389735541
31,Course3_W3-S1-L3_-_The_Vector_Space_Model_-_15_slides_09-53,l_text_topics,topic_9,0.390343999
32,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,l_text_topics,topic_6,0.46579333
33,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,l_text_topics,topic_7,0.359905198
34,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,l_text_topics,topic_8,0.509764384
35,Course1_W2-S1-L4_Parameter_Estimation_in_HMMs_13-16,l_text_topics,topic_12,0.453601743
36,Course1_W1-S3-L3_Discounting_Methods_Part_1_9-26,l_text_topics,topic_11,0.454771115
37,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,l_text_topics,topic_7,0.441653306
38,Course1_W1-S3-L2_Linear_Interpolation_Part_2_11-35,l_text_topics,topic_11,0.35215844
,,transE_without_weights,Average,0.414961476
