,feature,proba,topic_num,cv_index,cv_index_1
0,similarity,0.033697847,0,['vi1668'],vi1668
1,words,0.023299322,0,['vi540'],vi540
2,word,0.022786364,0,['vi25'],vi25
3,similar,0.0141805755,0,['vi1928'],vi1928
4,example,0.012674552,0,['vi1924'],vi1924
5,context,0.011674534,0,"['vi453', 'vi2036']",vi453
6,information,0.009890891,0,['vi171'],vi171
9,counts,0.008626573,0,"['vi562', 'vi1995']",vi562
13,cosine,0.008019424,0,['vi1530'],vi1530
14,meaning,0.007608182,0,['vi2053'],vi2053
15,vowel,0.007475731,0,['vi1359'],vi1359
20,verb,0.005566372,0,['vi1601'],vi1601
21,stem,0.005152559,0,['vi637'],vi637
26,turkish,0.0048366883,0,['vi840'],vi840
28,vector,0.004804289,0,['vi412'],vi412
41,ppmi,0.0032961925,0,['vi1569'],vi1569
42,dimension,0.0030183753,0,['vi1946'],vi1946
44,dot_product,0.0028823286,0,['vi73'],vi73
47,plural,0.0027641319,0,['vi1389'],vi1389
48,first,0.0026680375,0,['vi875'],vi875
52,information_retrieval,0.0025362174,0,['vi1983'],vi1983
70,lexical_semantics,0.001981847,0,['vi1346'],vi1346
76,derived,0.0019318372,0,['vi1337'],vi1337
80,product,0.0018683466,0,['vi719'],vi719
81,thesaurus,0.0018317164,0,['vi1787'],vi1787
86,linguistics,0.0017652569,0,"['vi1118', 'vi1658']",vi1118
96,distributional_similarity,0.0016570534,0,['vi1351'],vi1351
97,verbs,0.0016489227,0,['vi274'],vi274
98,lexicon,0.0016467291,0,['vi1400'],vi1400
100,example,0.01832475,1,['vi1924'],vi1924
105,natural_language_processing,0.0072808354,1,"['vi636', 'vi1540']",vi636
107,language,0.0069783744,1,['vi1728'],vi1728
112,first,0.0055974144,1,['vi875'],vi875
115,information,0.0052898866,1,['vi171'],vi171
117,natural,0.0052161543,1,['vi604'],vi604
119,question,0.005044967,1,['vi248'],vi248
122,summarization,0.004655562,1,['vi1582'],vi1582
127,sentences,0.0043534487,1,['vi1592'],vi1592
136,examples,0.0033825361,1,['vi103'],vi103
137,question_answering,0.0033534074,1,['vi1844'],vi1844
139,time,0.0032888232,1,['vi1992'],vi1992
144,sentence,0.003001968,1,['vi1026'],vi1026
149,words,0.0028987825,1,['vi540'],vi540
165,applications,0.0023691477,1,['vi1727'],vi1727
170,dialogue,0.002234549,1,['vi608'],vi608
172,product,0.0021243922,1,['vi719'],vi719
175,case,0.0020720898,1,['vi991'],vi991
176,sentiment_analysis,0.0020611691,1,"['vi339', 'vi1463']",vi339
184,query,0.0018892768,1,['vi606'],vi606
201,probability,0.01986207,2,"['vi1296', 'vi1474']",vi1296
203,word,0.01305099,2,['vi25'],vi25
204,model,0.012747982,2,['vi859'],vi859
205,example,0.0117271785,2,['vi1924'],vi1924
206,sequence,0.011105416,2,['vi1256'],vi1256
207,features,0.01031575,2,"['vi1740', 'vi1796']",vi1740
209,parameters,0.008594376,2,"['vi543', 'vi749']",vi543
215,previous,0.0075153904,2,['vi1268'],vi1268
218,models,0.006443389,2,['vi544'],vi544
219,sentence,0.0063507487,2,['vi1026'],vi1026
221,function,0.0053056404,2,['vi535'],vi535
222,tags,0.0053029787,2,['vi246'],vi246
229,first,0.00470823,2,['vi875'],vi875
230,words,0.004669474,2,['vi540'],vi540
231,case,0.004665615,2,['vi991'],vi991
235,distribution,0.004465231,2,['vi1280'],vi1280
237,terms,0.0037801112,2,['vi889'],vi889
242,estimate,0.003533406,2,['vi1746'],vi1746
249,product,0.0032379692,2,['vi719'],vi719
250,probabilities,0.00318716,2,['vi776'],vi776
253,likelihood,0.002969796,2,['vi1529'],vi1529
254,lambda,0.00278711,2,['vi1391'],vi1391
255,algorithm,0.0027824785,2,['vi188'],vi188
256,conditional_probability,0.0027562315,2,['vi1424'],vi1424
257,training,0.0027533702,2,['vi222'],vi222
258,define,0.0027308317,2,['vi125'],vi125
263,condition,0.0026333989,2,['vi404'],vi404
269,english,0.0025678636,2,"['vi1140', 'vi1511']",vi1140
271,history,0.0025575296,2,['vi983'],vi983
272,problem,0.0025010665,2,['vi427'],vi427
273,examples,0.0024712472,2,['vi103'],vi103
274,counts,0.0024607617,2,"['vi562', 'vi1995']",vi562
280,context,0.002321927,2,"['vi453', 'vi2036']",vi453
289,trigram,0.002094991,2,"['vi75', 'vi1713']",vi75
293,time,0.0020339543,2,['vi1992'],vi1992
296,training_data,0.0019752162,2,['vi167'],vi167
298,input,0.0019620298,2,['vi1836'],vi1836
304,information,0.014016772,3,['vi171'],vi171
306,precision,0.0129659595,3,['vi2062'],vi2062
307,query,0.012292525,3,['vi606'],vi606
314,recall,0.008223782,3,['vi756'],vi756
316,summarization,0.0072949743,3,['vi1582'],vi1582
320,bigrams,0.00566136,3,['vi117'],vi117
323,search_engine,0.00527213,3,['vi418'],vi418
326,precision_recall,0.0051492825,3,['vi89'],vi89
335,first,0.004445121,3,['vi875'],vi875
342,relative,0.0035063806,3,['vi1180'],vi1180
355,mean_average_precision,0.0024067478,3,['vi1690'],vi1690
357,question,0.0023890738,3,['vi248'],vi248
359,evaluation,0.0023694579,3,['vi675'],vi675
371,example,0.0021083134,3,['vi1924'],vi1924
386,information_retrieval,0.0017703891,3,['vi1983'],vi1983
387,relevance,0.0017345933,3,['vi267'],vi267
391,count,0.0016470512,3,['vi822'],vi822
400,alignment,0.02349311,4,"['vi772', 'vi1620']",vi772
401,french,0.01682228,4,['vi924'],vi924
404,english,0.011179246,4,"['vi1140', 'vi1511']",vi1140
405,distance,0.010372994,4,['vi1216'],vi1216
406,relations,0.010339771,4,['vi1846'],vi1846
408,word,0.010188034,4,['vi25'],vi25
409,words,0.009000526,4,['vi540'],vi540
411,relation,0.0086359875,4,"['vi1546', 'vi1703']",vi1546
421,relation_extraction,0.0058846474,4,"['vi44', 'vi1201']",vi44
428,algorithm,0.00521152,4,['vi188'],vi188
430,example,0.004785847,4,['vi1924'],vi1924
442,entity,0.0040289946,4,['vi724'],vi724
443,characters,0.0039931773,4,['vi1450'],vi1450
448,edit_distance,0.003771259,4,['vi1947'],vi1947
449,case,0.0037635055,4,['vi991'],vi991
451,ibm_model,0.0035636341,4,"['vi18', 'vi378']",vi18
453,collocations,0.0034153704,4,['vi2043'],vi2043
455,sentence,0.0033018524,4,['vi1026'],vi1026
458,first,0.0031513073,4,['vi875'],vi875
465,sequence,0.002902082,4,['vi1256'],vi1256
467,features,0.0027957263,4,"['vi1740', 'vi1796']",vi1740
482,collocation,0.0023930343,4,['vi1345'],vi1345
483,sentences,0.0023349202,4,['vi1592'],vi1592
489,problem,0.0021639934,4,['vi427'],vi427
496,similar,0.0020934613,4,['vi1928'],vi1928
498,substitutions,0.0020119832,4,['vi303'],vi303
506,word,0.019678568,5,['vi25'],vi25
507,probability,0.006991851,5,"['vi1296', 'vi1474']",vi1296
508,words,0.006772512,5,['vi540'],vi540
510,model,0.0050404603,5,['vi859'],vi859
526,probabilities,0.0021335608,5,['vi776'],vi776
528,english,0.0020321403,5,"['vi1140', 'vi1511']",vi1140
532,language_model,0.0017908786,5,"['vi121', 'vi1184']",vi121
535,similar,0.0016938924,5,['vi1928'],vi1928
539,count,0.0015803216,5,['vi822'],vi822
540,example,0.0015787871,5,['vi1924'],vi1924
541,bigram,0.001566275,5,['vi1850'],vi1850
548,noisy_channel_model,0.0014608233,5,['vi1769'],vi1769
549,edit_distance,0.0014551344,5,['vi1947'],vi1947
552,noisy_channel,0.001353439,5,['vi1387'],vi1387
553,models,0.0013480475,5,['vi544'],vi544
