,head,variable,value
0,Course3_W2-S1-L5_-_Spelling_Similarity-_Edit_Distance_-_32_slides_21-23,concept_vocab_index,vi1003
1,Course1_W10-S2-L6_Experiments_with_GLMs_for_Dep,concept_vocab_index,vi50
2,Course3_W11-S1-L1_-_Sentiment_Analysis_-_17_slides_08-49,concept_vocab_index,vi1552
3,Course3_W7-S1-L7_-_Relation_Extraction_-_28_slides_21-26,concept_vocab_index,vi845
4,Course3_W12-S1-L6_-__Machine_Translation_Noisy_Channel_Methods_-_22_slides_11-53,concept_vocab_index,vi672
5,Course3_W8-S1-L4_-_Question_Answering_Systems_1-2_-_14_slides_14-23,l_text_topics,topic_4
6,Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,concept_vocab_index,vi1644
7,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,concept_vocab_index,vi1407
8,Course2_W7-S2-L8_Evaluating_Search_Engines_9-02,concept_vocab_index,vi675
9,Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,level,level_2
10,Course2_W6-S1-L3_CKY_Parsing_23-25,concept_vocab_index,vi283
11,Course3_W4-S1-L2_-_Parsing_-_22_slides_17-38,concept_vocab_index,vi1090
12,Course3_W8-S1-L2_-_Evaluation_of_QA__System_Architecture_-_21_slides_21-59,concept_vocab_index,vi1063
13,Course1_W10-S1-L6_GLMs_for_Tagging_Part_4_6-00,concept_vocab_index,vi1740
14,Course2_W3-S1-L3_Formalizing_the_Naive_Bayes_Classifier_9-28,concept_vocab_index,vi892
15,Course2_W7-S2-L6_The_Vector_Space_Model_16-22,concept_vocab_index,vi435
16,Course2_W3-S1-L8_Text_Classification-_Evaluation_7-17,concept_vocab_index,vi318
17,Course1_W10-S2-L4_GLMs_for_Dependency_Parsing_Part_1_11-59,concept_vocab_index,vi435
18,Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,concept_vocab_index,vi1003
19,Course2_W2-S2-L2_The_Noisy_Channel_Model_of_Spelling_19-30,prerequisite,Course2_W2-S2-L1_The_Spelling_Correction_Task_5-39
20,Course1_W7-S1-L1_Introduction_0-47,concept_vocab_index,vi378
21,Course2_W4-S1-L2_Making_features_from_text_for_discriminative_NLP_models_18-11,concept_vocab_index,vi1685
22,Course1_W1-S2-L1_Introduction_to_the_Language_Modeling_Problem_Part_1_6-17,concept_vocab_index,vi1740
23,Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,concept_vocab_index,vi751
24,Course1_W4-S2-L4_Parameter_Estimation_in_Lexicalized_PCFGs_Part_1_5-28,concept_vocab_index,vi1200
25,Course1_W7-S1-L3_Features_in_Log-Linear_Models_Part_1_13-56,concept_vocab_index,vi378
26,Course2_W1-S2-L4_Word_Normalization_and_Stemming_11-47,concept_vocab_index,vi142
27,Course1_W7-S1-L6_Definition_of_Log-linear_Models_Part_2_3-45,concept_vocab_index,vi1783
28,Course2_W1-S1-L1_Course_Introduction_14-11,concept_vocab_index,vi497
29,Course1_W1-S1-L1_Introduction_Part_1_11-17,concept_vocab_index,vi92
30,Course3_W12-S1-L8_-_Text_Generation_-_11_slides_05-49,concept_vocab_index,vi1168
31,Course1_W3-S2-L1_Introduction_1-12,concept_vocab_index,vi1807
32,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi167
33,Course2_W2-S2-L2_The_Noisy_Channel_Model_of_Spelling_19-30,concept_vocab_index,vi1474
34,Course2_W5-S3-L1_Syntactic_Structure-_Constituency_vs_Dependency_8-46,concept_vocab_index,vi892
35,Course3_W4-S1-L5_-_The_Penn_Treebank_-_21_slides_17-55,concept_vocab_index,vi288
36,Course2_W3-S1-L9_Practical_Issues_in_Text_Classification_5-56,concept_vocab_index,vi435
37,Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03,l_text_topics,topic_10
38,Course3_W3-S1-L2_-_Thesaurus-based_Word_Similarity_Methods_-_11_slides_07-52,concept_vocab_index,vi92
39,Course3_W10-S1-L2_-_Information_Retrieval_-_32_slides_21-38,concept_vocab_index,vi1132
40,Course1_W4-S2-L5_Parameter_Estimation_in_Lexicalized_PCFGs_Part_2_9-08,concept_vocab_index,vi1324
41,Course1_W7-S1-L8_Parameter_Estimation_in_Log-linear_Models_Part_2_4-13,concept_vocab_index,vi318
42,Course2_W4-S1-L5_Generative_vs,l_text_topics,topic_5
43,Course1_W1-S2-L5_Trigram_Language_Models_9-40,concept_vocab_index,vi388
44,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi226
45,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,concept_vocab_index,vi1880
46,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi1842
47,Course2_W3-S1-L1_What_is_Text_Classification_8-12,level,level_3
48,Course1_W5-S2-L7_The_EM_Algorithm_for_IBM_Model_2_Part_3_9-28,concept_vocab_index,vi435
49,Course1_W9-S1-L3_The_Brown_Clustering_Algorithm_Part_1_11-50,concept_vocab_index,vi378
50,Course2_W4-S1-L1_Generative_vs,concept_vocab_index,vi1200
51,Course2_W8-S1-L4_Word_Similarity-_Distributional_Similarity_I_13-14,concept_vocab_index,vi1060
52,Course2_W2-S1-L1_Introduction_to_N-grams_8-41,concept_vocab_index,vi1840
53,Course2_W8-S1-L5_Word_Similarity-_Distributional_Similarity_II_8-15,concept_vocab_index,vi1617
54,Course1_W1-S3-L5_Summary_2-31,concept_vocab_index,vi2014
55,Course2_W1-S2-L3_Word_Tokenization_14-26,concept_vocab_index,vi84
56,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,concept_vocab_index,vi1600
57,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,concept_vocab_index,vi1003
58,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,concept_vocab_index,vi726
59,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi1257
60,Course2_W8-S3-L4_Summarizing_Multiple_Documents,concept_vocab_index,vi192
61,Course2_W4-S3-L4_Semi-Supervised_and_Unsupervised_Relation_Extraction_9-53,concept_vocab_index,vi1893
62,Course1_W10-S1-L3_GLMs_for_Tagging_Part_1_5-26,concept_vocab_index,vi460
63,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi1193
64,Course2_W6-S1-L3_CKY_Parsing_23-25,concept_vocab_index,vi672
65,Course3_W2-S1-L7_-_Preprocessing_-_9_slides_11-48,l_text_topics,topic_2
66,Course3_W6-S1-L5_-_Language_Modeling_2-3_-_13_slides_10-56,concept_vocab_index,vi892
67,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi142
68,Course3_W2-S1-L1_-_Parts_of_speech_-_17_slides_15-50,concept_vocab_index,vi1925
69,Course1_W7-S1-L4_Features_in_Log-Linear_Models_Part_2_10-13,concept_vocab_index,vi175
70,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,concept_vocab_index,vi1945
71,Course3_W10-S1-L3_-_Evaluation_of_IR_-_14_slides_11-15,concept_vocab_index,vi1132
72,Course3_W6-S1-L3_-_Language_Modeling_1-3_-_18_slides_19-21,concept_vocab_index,vi1880
73,Course2_W3-S1-L9_Practical_Issues_in_Text_Classification_5-56,concept_vocab_index,vi283
74,Course2_W6-S1-L3_CKY_Parsing_23-25,concept_vocab_index,vi1073
75,Course1_W3-S2-L2_Basics_of_PCFGs_Part_1_9-43,concept_vocab_index,vi892
76,Course1_W2-S1-L3_Hidden_Markov_Models_HMMs-_Basic_Definitions_12-00,concept_vocab_index,vi751
77,Course1_W5-S2-L8_The_EM_Algorithm_for_IBM_Model_2_Part_4_4-52,concept_vocab_index,vi1520
78,Course2_W4-S3-L1_What_is_Relation_Extraction_9-47,concept_vocab_index,vi1874
79,Course3_W2-S1-L6_-_NACLO_-_11_slides_03-51,concept_vocab_index,vi2043
80,Course1_W9-S2-L3_Motivation_for_GLMs_6-34,concept_vocab_index,vi1503
81,Course3_W3-S1-L6_-_NLP_Tasks_2-3_-_20_slides_15-33,level,level_2
82,Course1_W2-S1-L5_The_Viterbi_Algorithm_for_HMMs_Part_1_14-07,concept_vocab_index,vi1200
83,Course1_W8-S2-L5_Features_and_Beam_Search_12-10,concept_vocab_index,vi1570
84,Course1_W8-S1-L4_Features_in_Log-Linear_Taggers_13-21,concept_vocab_index,vi1683
85,Course1_W1-S3-L1_Linear_Interpolation_Part_1_7-46,concept_vocab_index,vi1740
86,Course2_W7-S1-L3_The_Inverted_Index_10-42,concept_vocab_index,vi1623
