,head,variable,value
0,Course1_W9-S1-L7_Clusters_in_NE_Recognition_Part_2_7-28,concept_vocab_index,vi1740
1,Course3_W7-S1-L3_-_Hidden_Markov_Models_1-2_-_30_slides_24-41,concept_vocab_index,vi1073
2,Course2_W8-S1-L2_WordNet_and_Other_Online_Thesauri_6-23,concept_vocab_index,vi142
3,Course3_W10-S1-L5_-_Text_Clustering_-_17_slides_15-39,l_text_topics,topic_4
4,Course1_W8-S1-L2_Recap_of_the_Tagging_Problem_3-15,concept_vocab_index,vi1740
5,Course2_W7-S1-L2_Term-Document_Incidence_Matrices_8-59,concept_vocab_index,vi90
6,Course3_W4-S1-L3_-_Classic_Parsing_Methods_-_61_slides_25-05,concept_vocab_index,vi1324
7,Course2_W7-S2-L2_Scoring_with_the_Jaccard_Coefficient_5-06,concept_vocab_index,vi435
8,Course2_W7-S2-L2_Scoring_with_the_Jaccard_Coefficient_5-06,concept_vocab_index,vi1073
9,Course2_W4-S3-L3_Supervised_Relation_Extraction_10-51,concept_vocab_index,vi573
10,Course2_W2-S1-L3_Evaluation_and_Perplexity_11-09,concept_vocab_index,vi372
11,Course3_W6-S1-L4_-_Language_Modeling_1-3_contd_-__5_slides_03-05,concept_vocab_index,vi1132
12,Course3_W2-S1-L4_-_Morphological_Similarity-_Stemming_-_19_slides_15-05,concept_vocab_index,vi1928
13,Course3_W10-S1-L6_-_Information_Retrieval_Toolkits_-_8_slides_02-38,concept_vocab_index,vi50
14,Course1_W3-S1-L10_Examples_of_Ambiguity_5-56,concept_vocab_index,vi129
15,Course2_W2-S1-L4_Generalization_and_Zeros_5-15,concept_vocab_index,vi238
16,Course3_W11-S1-L4_-_Representing_and_Understanding_Meaning_-_14_slides_09-22,concept_vocab_index,vi1842
17,Course2_W8-S1-L1_Word_Senses_and_Word_Relations_11-50,concept_vocab_index,vi1842
18,Course1_W5-S2-L4_IBM_Model_2_11-27,concept_vocab_index,vi288
19,Course1_W6-S2-L2_Definition_of_the_Decoding_Problem_Part_2_13-00,concept_vocab_index,vi1454
20,Course3_W7-S1-L7_-_Relation_Extraction_-_28_slides_21-26,concept_vocab_index,vi197
21,Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,concept_vocab_index,vi173
22,Course1_W9-S1-L2_Word_Cluster_Representations_8-36,concept_vocab_index,vi129
23,Course2_W7-S2-L8_Evaluating_Search_Engines_9-02,concept_vocab_index,vi675
24,Course3_W6-S1-L6_-_Language_Modeling_3-3_-_14_slides_15-06,concept_vocab_index,vi1840
