head,variable,value,prob
Course2_W5-S3-L3_The_Exponential_Problem_in_Parsing_14-30,l_text_topics,topic_12,0.31217145167812377
Course1_W3-S2-L6_The_CKY_Parsing_Algorithm_Part_3_10-07,l_text_topics,topic_10,0.33683784876668016
Course3_W1-S1-L1_-_Introduction_-_11_slides_08-39,l_text_topics,topic_2,0.9987868985038415
Course2_W1-S1-L1_Course_Introduction_14-11,l_text_topics,topic_2,0.3552365547917509
Course1_W5-S1-L4_Classical_Approaches_to_MT_Part_1_8-02,l_text_topics,topic_2,0.0578245046502224
Course2_W6-S3-L1_Dependency_Parsing_Introduction_10-25,l_text_topics,topic_13,0.7886170642943794
Course1_W3-S1-L1_Introduction_0-28,l_text_topics,topic_5,0.040436716538617065
Course3_W8-S1-L3_-_System_Architecture_-_9_slides_08-03,l_text_topics,topic_0,0.03619086130206227
Course2_W5-S3-L2_Empirical-Data-Driven_Approach_to_Parsing_7-11,l_text_topics,topic_14,0.8288515972503033
Course2_W6-S2-L2_Charniaks_Model_18-23,l_text_topics,topic_13,0.025171856045289123
Course3_W1-S1-L7_-_Linguistics_-_23_slides_21-27,l_text_topics,topic_2,0.0018196522442377669
Course1_W9-S2-L5_GLMs_for_Parse_Reranking_10-36,l_text_topics,topic_3,0.9970683380509504
Course3_W12-S1-L2_-_Coherence_-_19_slides_16-39,l_text_topics,topic_5,0.21411241407197734
Course1_W5-S1-L2_introduction_2-03,l_text_topics,topic_6,0.23453295592397896
Course1_W4-S2-L7_Evaluation_of_Lexicalized_PCFGs_Part_2_11-28,l_text_topics,topic_5,0.5279013344116459
Course2_W4-S1-L2_Making_features_from_text_for_discriminative_NLP_models_18-11,l_text_topics,topic_14,0.04367165386170643
Course1_W6-S2-L1_Definition_of_the_Decoding_Problem_Part_1_9-12,l_text_topics,topic_8,0.6705418520016174
Course3_W5-S1-L8_-_Alternative_Parsing_Formalisms_-_10_slides_10-03,l_text_topics,topic_10,0.2443388596845936
Course3_W9-S1-L4_-_Summarization_Techniques_3-3_-_17_slides_10-23,l_text_topics,topic_14,0.4067933683784877
Course2_W6-S2-L3_PCFG_Independence_Assumptions_9-44,l_text_topics,topic_13,0.07521229276182774
