,feature,proba,topic_num,cv_index,cv_index_1
1,question,0.021760635,0,['vi1978'],vi1978
2,example,0.015564766,0,['vi1711'],vi1711
5,words,0.009215896,0,['vi1449'],vi1449
11,similarity,0.0060079494,0,['vi1512'],vi1512
12,query,0.0057615326,0,['vi1610'],vi1610
13,first,0.005735682,0,['vi1777'],vi1777
15,distance,0.005210215,0,['vi1406'],vi1406
16,word,0.0051333182,0,['vi560'],vi560
21,question_answering,0.0045548207,0,['vi388'],vi388
36,case,0.0031239106,0,['vi351'],vi351
41,similar,0.0028552394,0,['vi1754'],vi1754
43,search_engine,0.0027857171,0,['vi1729'],vi1729
44,corpus,0.0027604497,0,['vi639'],vi639
52,sentences,0.002508726,0,['vi1667'],vi1667
64,edit_distance,0.0022099218,0,['vi1932'],vi1932
70,language,0.002006662,0,['vi694'],vi694
79,named_entity,0.001891087,0,"['vi511', 'vi2030']",vi511
94,natural,0.0017071739,0,['vi976'],vi976
100,probability,0.023658702,1,"['vi1054', 'vi1334']",vi1054
102,example,0.016113942,1,['vi1711'],vi1711
103,sentence,0.015151735,1,['vi2014'],vi2014
105,sequence,0.011002245,1,['vi866'],vi866
107,word,0.009295803,1,['vi560'],vi560
108,first,0.0077208253,1,['vi1777'],vi1777
109,tags,0.007680861,1,['vi306'],vi306
110,features,0.0076049226,1,"['vi665', 'vi1546']",vi665
111,previous,0.0072863065,1,['vi933'],vi933
113,case,0.006435604,1,['vi351'],vi351
118,words,0.0058165183,1,['vi1449'],vi1449
121,state,0.005219899,1,['vi723'],vi723
124,model,0.004926479,1,['vi839'],vi839
127,probabilities,0.0045948117,1,['vi1349'],vi1349
128,vector,0.004536807,1,['vi757'],vi757
130,models,0.0043632663,1,['vi554'],vi554
131,input,0.0042380467,1,['vi1032'],vi1032
135,tagging,0.0036928076,1,['vi258'],vi258
142,history,0.0032532266,1,['vi879'],vi879
148,sentences,0.0029812704,1,['vi1667'],vi1667
149,context,0.002977188,1,"['vi1324', 'vi1562']",vi1324
150,function,0.0029612016,1,['vi939'],vi939
151,part_speech,0.0028976297,1,['vi1128'],vi1128
152,define,0.0028711928,1,['vi342'],vi342
156,time,0.0026917453,1,['vi573'],vi573
162,question,0.0024566283,1,['vi1978'],vi1978
168,examples,0.002397259,1,['vi2009'],vi2009
172,problem,0.002260565,1,['vi1431'],vi1431
173,algorithm,0.0022371875,1,['vi1198'],vi1198
180,information,0.0020178768,1,['vi967'],vi967
181,similar,0.0020134128,1,['vi1754'],vi1754
187,conditional_probability,0.001923701,1,['vi1952'],vi1952
200,example,0.022749348,2,['vi1711'],vi1711
201,words,0.013577575,2,['vi1449'],vi1449
